DateKey,year,month,MonthName,Quarter,YearMonthLabel,interest_rate,inflation_rate,gdp_growth
201302,2013,2,February,1,2013-02,0.15,0.5429926752100966,
201303,2013,3,March,1,2013-03,0.14,-0.2811919102589932,
201304,2013,4,April,2,2013-04,0.15,-0.2087979266581219,1.1
201305,2013,5,May,2,2013-05,0.11,0.0414155489501633,
201306,2013,6,June,2,2013-06,0.09,0.2380408205508555,
201307,2013,7,July,3,2013-07,0.09,0.1957452300544337,3.5
201308,2013,8,August,3,2013-08,0.08,0.2387290682696274,
201309,2013,9,September,3,2013-09,0.08,0.03769446919335,
201310,2013,10,October,4,2013-10,0.09,0.0535231048539142,3.5
201311,2013,11,November,4,2013-11,0.08,0.184448942735238,
201312,2013,12,December,4,2013-12,0.09,0.2644169158479315,
201401,2014,1,January,1,2014-01,0.07,0.2424175290453689,-1.4
201402,2014,2,February,1,2014-02,0.07,0.1100778620244158,
201403,2014,3,March,1,2014-03,0.08,0.204205530106516,
201404,2014,4,April,2,2014-04,0.09,0.1864185605097601,5.3
201405,2014,5,May,2,2014-05,0.09,0.1903005903547194,
201406,2014,6,June,2,2014-06,0.1,0.1321132206079767,
201407,2014,7,July,3,2014-07,0.09,0.1125485286492811,5.0
201408,2014,8,August,3,2014-08,0.09,-0.0160001347379701,
201409,2014,9,September,3,2014-09,0.09,0.0071591004800808,
201410,2014,10,October,4,2014-10,0.09,-0.0197913903241198,2.0
201411,2014,11,November,4,2014-11,0.09,-0.1882660152465964,
201412,2014,12,December,4,2014-12,0.12,-0.3084609444559238,
201501,2015,1,January,1,2015-01,0.11,-0.6370316441765556,3.6
201502,2015,2,February,1,2015-02,0.11,0.2534643680217385,
201503,2015,3,March,1,2015-03,0.11,0.2693951780812442,
201504,2015,4,April,2,2015-04,0.12,0.1042478896158938,2.5
201505,2015,5,May,2,2015-05,0.12,0.3297745341246827,
201506,2015,6,June,2,2015-06,0.13,0.2767920810460733,
201507,2015,7,July,3,2015-07,0.13,0.1586319780187306,1.6
201508,2015,8,August,3,2015-08,0.14,-0.0004201080517907,
201509,2015,9,September,3,2015-09,0.14,-0.2247587519377591,
201510,2015,10,October,4,2015-10,0.12,0.098948201669069,0.7
201511,2015,11,November,4,2015-11,0.12,0.1194617491050875,
201512,2015,12,December,4,2015-12,0.24,-0.1075553426856057,
201601,2016,1,January,1,2016-01,0.34,-0.0458443563073895,2.3
201602,2016,2,February,1,2016-02,0.38,-0.1329675323582302,
201603,2016,3,March,1,2016-03,0.36,0.3134796238244419,
201604,2016,4,April,2,2016-04,0.37,0.3830645161290169,1.3
201605,2016,5,May,2,2016-05,0.37,0.236409586931785,
201606,2016,6,June,2,2016-06,0.38,0.2775957287827202,
201607,2016,7,July,3,2016-07,0.39,-0.050370074347894,2.9
201608,2016,8,August,3,2016-08,0.4,0.1849221785831689,
201609,2016,9,September,3,2016-09,0.4,0.2623209794425207,
201610,2016,10,October,4,2016-10,0.4,0.2342687497926876,2.2
201611,2016,11,November,4,2016-11,0.41,0.1178947716771183,
201612,2016,12,December,4,2016-12,0.54,0.2524522158776188,
201701,2017,1,January,1,2017-01,0.65,0.4043076694815628,2.0
201702,2017,2,February,1,2017-02,0.66,0.1592657357009752,
201703,2017,3,March,1,2017-03,0.79,-0.0467201626189517,
201704,2017,4,April,2,2017-04,0.9,0.1234152821740774,2.3
201705,2017,5,May,2,2017-05,0.91,-0.0773977960056293,
201706,2017,6,June,2,2017-06,1.04,0.0651628661825221,
201707,2017,7,July,3,2017-07,1.15,0.0327649971535448,3.2
201708,2017,8,August,3,2017-08,1.16,0.3848626163288182,
201709,2017,9,September,3,2017-09,1.15,0.5106389920997767,
201710,2017,10,October,4,2017-10,1.15,0.077505224501384,4.6
201711,2017,11,November,4,2017-11,1.16,0.2668007428251684,
201712,2017,12,December,4,2017-12,1.3,0.2106889244755105,
201801,2018,1,January,1,2018-01,1.41,0.4253344363511546,3.3
201802,2018,2,February,1,2018-02,1.42,0.2692287600609022,
